name;top1;top2;top3;top4;top5
912;17;81;81;70;50
1400;0;29;29;67;60
1723;0;35;40;7;13
2683;0;40;40;101;101
3351;51;28;76;28;98
3561;101;101;35;100;102
3611;76;5;35;13;13
3642;0;22;39;3;9
3659;0;29;66;87;38
4203;30;88;29;47;27
4421;40;78;21;78;43
4638;18;35;47;47;47
5159;62;70;92;17;92
5327;0;83;85;73;73
5346;0;62;70;70;92
5421;0;83;83;83;1
5569;0;42;85;76;16
5801;81;70;62;57;17
6408;67;29;51;69;69
6861;0;12;41;41;42
7059;0;51;39;2;66
7170;0;62;70;62;62
7289;0;92;94;83;86
7881;37;37;12;18;28
8072;0;35;4;4;4
8455;25;25;42;42;42
9202;0;76;76;76;35
9637;28;13;88;18;52
9876;70;70;62;81;29
